"","ID","numberOfCliques","cliqueID","cliqueStructure","cliqueSize"
"141","SR0870559",3,2,"0,1,2,3",4
"142","SR0940446",6,0,"0,4,5,6,21,22,23,38,39,40,41,42,43,44,47",15
"143","SR0940446",6,1,"1,3,7,15,16,17,19,24,27,33,45,46,51",13
"144","SR0940446",6,2,"0,2,8,9,10,11,20",7
"145","SR0940446",6,3,"13,14,26,27,28,32,37",7
"146","SR0940446",6,4,"2,12",2
"147","SR0940446",6,5,"1,49",2
"148","SR1050137",3,0,"1,2,6,7,8,11,13,14",8
"149","SR1050137",3,1,"10,12",2
"150","SR1050137",3,2,"3,4,5",3
"151","SR1060798",5,0,"15",1
"152","SR1060798",5,1,"1,4,5,6,7,8",6
"153","SR1060798",5,2,"9,10,11,12,13,14",6
"154","SR1060798",5,3,"1,2,3",3
"155","SR1060798",5,4,"0",1
"156","SR1110700",4,0,"0,1",2
"157","SR1110700",4,1,"7,8,9",3
"158","SR1110700",4,2,"10,11,12,13",4
"159","SR1110700",4,3,"15,16,17,18",4
"160","SR1120747",2,0,"0,1",2
"161","SR1120747",2,1,"2,3,4",3
"162","SR1240219",4,0,"0,1,2,3",4
"163","SR1240219",4,1,"12,13",2
"164","SR1240219",4,2,"4,5",2
"165","SR1240219",4,3,"6,7,8,9,10,11",6
"166","SR1370869",5,0,"0,1,2,3",4
"167","SR1370869",5,1,"4,5,6,7",4
"168","SR1370869",5,2,"8,9,15",3
"169","SR1370869",5,3,"10,11,12",3
"170","SR1370869",5,4,"13,14",2
"171","SR1410105",2,0,"0,3,4,5,6",5
"172","SR1410105",2,1,"1,2",2
"173","SR1510693",3,0,"3,4,5",3
"174","SR1510693",3,1,"9",1
"175","SR1510693",3,2,"0,1,2,6,7,8,10",7
"176","SR1620962",3,0,"0,1,2",3
"177","SR1620962",3,1,"3",1
"178","SR1620962",3,2,"4",1
"179","SR1680449",3,0,"0,1",2
"180","SR1680449",3,1,"2,4,5,6,7,8",6
"181","SR1680449",3,2,"3",1
"182","SR1690083",2,0,"0",1
"183","SR1690083",2,1,"1",1
"184","SR1710389",2,0,"0,1,4,5",4
"185","SR1710389",2,1,"2,3,10",3
"186","SR1730755",2,0,"0,1",2
"187","SR1730755",2,1,"0,1,2,3",4
"188","SR1740033",3,0,"0",1
"189","SR1740033",3,1,"1,2",2
"190","SR1740033",3,2,"3,4,5,6",4
"191","SR1750399",2,0,"0,1",2
"192","SR1750399",2,1,"0",1
"193","SR1800269",5,0,"0,1,2,8",4
"194","SR1800269",5,1,"5,6,23,24",4
"195","SR1800269",5,2,"9,10,11,12,13,15,16,17,18,19,22,29,30",13
"196","SR1800269",5,3,"14,27",2
"197","SR1800269",5,4,"3,4,25,26,28",5
"198","SR1890181",5,0,"0,1,27",3
"199","SR1890181",5,1,"2,3,10,16,17,18,19,20,21,22,23,24,25",13
"200","SR1890181",5,2,"4,5,6,7,8,9,11,12",8
"201","SR1890181",5,3,"13,14,15",3
"202","SR1890181",5,4,"26,28",2
"203","SR1900226",2,0,"0,1,2,5",4
"204","SR1900226",2,1,"3,4",2
"205","SR1910239",6,0,"2,3,4",3
"206","SR1910239",6,1,"0,14,15,16,24",5
"207","SR1910239",6,2,"6,7,8,9,10,11,12,17,18,25,26,27",12
"208","SR1910239",6,3,"1",1
"209","SR1910239",6,4,"23",1
"210","SR1910239",6,5,"19,20,22",3
"211","SR1980783",2,0,"1,2",2
"212","SR1980783",2,1,"0",1
"213","SR2010366",1,0,"0,1",2
"214","SR2060098",1,0,"0,1",2
"215","SR2070073",3,0,"2,3,4",3
"216","SR2070073",3,1,"0,1",2
"217","SR2070073",3,2,"5,8,9",3
"218","SR2100503",2,0,"0",1
"219","SR2100503",2,1,"1,2",2
"220","SR2110492",2,0,"0,1,2",3
"221","SR2110492",2,1,"3,4,5,6,7",5
"222","SR2120968",3,0,"0,1,2,3",4
"223","SR2120968",3,1,"0,1,2",3
"224","SR2120968",3,2,"2,3",2
"225","SR2370703",4,0,"3,4,5",3
"226","SR2370703",4,1,"1,2",2
"227","SR2370703",4,2,"6,7",2
"228","SR2370703",4,3,"0",1
"229","SR2550911",3,0,"5,6,7,8",4
"230","SR2550911",3,1,"0,1,2",3
"231","SR2550911",3,2,"3,4",2
"232","SR2560114",2,0,"0",1
"233","SR2560114",2,1,"1,2",2
"234","SR2660881",2,0,"0,1",2
"235","SR2660881",2,1,"2,3,4",3
"236","SR2730212",6,0,"0",1
